GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G1701170","1990","IL",,,,,,,,,,,,"99","Macoupin","117",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002236919","0000010293","Macoupin County","A","+39257447","-089921179","06",557,1242,1262,713,676,2183,1481,1474,676,689,669,709,699,607,639,573,1619,3285,3411,3454,3010,2493,2199,2310,988,1461,2359,2186,1791,1208,1056
"G1701190","1990","IL",,,,,,,,,,,,"99","Madison","119",,,"3","7040",,,,"9999","2","Illinois","17",,,,"0001877917","0000039682","Madison County","A","+38831897","-089908267","06",3020,7535,7359,3661,3656,10970,7147,6975,3215,3285,3442,3483,3511,3581,3474,3407,10212,20000,21218,19252,16773,13846,12021,11667,4655,7282,11106,8655,6885,4514,3431
"G1701210","1990","IL",,,,,,,,,,,,"99","Marion","121",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001482220","0000008915","Marion County","A","+38649152","-088919347","06",533,1179,1212,657,562,2018,1295,1210,591,622,574,626,550,586,482,427,1400,2973,3220,2970,2680,2222,2056,1828,814,1193,1983,1768,1500,1026,804
"G1701230","1990","IL",,,,,,,,,,,,"99","Marshall","123",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001000028","0000032176","Marshall County","A","+41031122","-089342303","06",127,310,321,178,174,573,396,386,179,204,186,200,172,158,141,115,426,744,929,906,892,757,622,607,242,403,730,614,478,361,315
"G1701250","1990","IL",,,,,,,,,,,,"99","Mason","125",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001395965","0000063266","Mason County","A","+40237659","-089913534","06",194,438,443,226,222,735,507,487,255,255,236,237,234,183,211,171,506,1093,1168,1129,1128,930,853,786,315,480,843,718,564,414,308
"G1701270","1990","IL",,,,,,,,,,,,"99","Massac","127",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000619148","0000007966","Massac County","A","+37219315","-088709606","06",148,344,358,186,191,639,397,410,203,219,217,191,199,198,171,161,452,1003,1145,990,903,823,791,753,317,493,824,698,586,406,336
"G1701290","1990","IL",,,,,,,,,,,,"99","Menard","129",,,"3","7880",,,,"9999","2","Illinois","17",,,,"0000813963","0000002917","Menard County","A","+40033732","-089799737","06",116,336,318,178,154,567,381,331,182,168,154,182,111,147,116,82,327,811,855,839,899,669,568,491,191,310,439,417,362,247,216
"G1701310","1990","IL",,,,,,,,,,,,"99","Mercer","131",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001453129","0000020355","Mercer County","A","+41204106","-090741607","06",188,467,482,213,255,856,542,533,273,263,270,261,248,221,163,175,535,1162,1269,1283,1220,1089,915,821,320,473,810,707,560,371,345
"G1701330","1990","IL",,,,,,,,,,,,"99","Monroe","133",,,"3","7040",,,,"9999","2","Illinois","17",,,,"0001005787","0000024322","Monroe County","A","+38276763","-090178196","06",293,661,694,322,350,1133,703,665,308,285,289,287,251,299,254,245,841,1692,2082,1787,1442,1235,1165,1095,423,614,874,747,583,442,361
"G1701350","1990","IL",,,,,,,,,,,,"99","Montgomery","135",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001822966","0000015384","Montgomery County","A","+39228142","-089478134","06",375,834,833,437,473,1432,901,871,420,412,431,402,349,360,346,335,1149,2303,2553,2298,1872,1498,1401,1342,612,884,1607,1338,1126,763,771
"G1701370","1990","IL",,,,,,,,,,,,"99","Morgan","137",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001473217","0000009014","Morgan County","A","+39714546","-090198119","06",411,944,931,511,487,1582,1050,1019,485,480,498,471,640,713,611,625,1432,2817,2869,2537,2472,1967,1753,1644,645,1052,1586,1420,1133,868,744
"G1701390","1990","IL",,,,,,,,,,,,"99","Moultrie","139",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000869225","0000022979","Moultrie County","A","+39638345","-088616794","06",184,396,380,189,222,636,424,398,218,217,197,201,167,137,137,127,431,877,1068,1028,882,750,691,628,262,405,677,597,535,374,495
"G1701410","1990","IL",,,,,,,,,,,,"99","Ogle","141",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001965547","0000011487","Ogle County","A","+42042051","-089319793","06",621,1382,1354,704,740,2252,1501,1394,681,679,652,639,630,603,535,482,1555,3483,3860,3479,3163,2732,2286,2062,829,1201,1906,1620,1321,830,781
"G1701430","1990","IL",,,,,,,,,,,,"99","Peoria","143",,,"3","6120",,,,"9999","2","Illinois","17",,,,"0001604638","0000029428","Peoria County","A","+40790224","-089759057","06",2261,5413,5157,2750,2526,8117,5426,5433,2584,2662,2536,2640,2885,3358,3121,2848,7586,13086,14664,13960,12895,10370,8357,7986,3285,4933,7961,6468,5260,3489,2810
"G1701450","1990","IL",,,,,,,,,,,,"99","Perry","145",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001142208","0000015104","Perry County","A","+38085107","-089368348","06",275,608,575,266,317,970,647,716,324,292,345,313,303,293,266,244,725,1481,1600,1594,1445,1161,990,1013,372,626,1072,887,787,490,415
"G1701470","1990","IL",,,,,,,,,,,,"99","Piatt","147",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001139683","0000000811","Piatt County","A","+40007292","-088592941","06",164,394,406,224,249,712,492,437,246,231,208,226,229,178,159,150,424,1071,1290,1210,1129,939,878,742,313,451,726,609,465,313,283
"G1701490","1990","IL",,,,,,,,,,,,"99","Pike","149",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002150580","0000048113","Pike County","A","+39620382","-090885595","06",197,461,467,259,226,809,495,502,261,238,219,231,232,223,196,192,549,1061,1254,1245,1096,912,832,878,333,586,962,905,768,509,479
"G1701510","1990","IL",,,,,,,,,,,,"99","Pope","151",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000960574","0000009776","Pope County","A","+37411349","-088573214","06",32,86,103,47,49,179,108,119,48,52,71,114,110,96,82,62,186,303,291,291,260,245,224,212,80,117,263,180,178,90,95
"G1701530","1990","IL",,,,,,,,,,,,"99","Pulaski","153",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000520108","0000006551","Pulaski County","A","+37227822","-089131179","06",88,222,234,132,120,403,258,266,114,106,120,109,121,70,94,74,225,493,539,487,377,374,356,341,162,223,429,319,296,198,173
"G1701550","1990","IL",,,,,,,,,,,,"99","Putnam","155",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000413890","0000032235","Putnam County","A","+41203306","-089282204","06",72,154,168,89,80,270,183,144,85,103,78,72,81,78,74,56,160,412,433,427,382,379,322,263,106,176,299,216,187,116,65
"G1701570","1990","IL",,,,,,,,,,,,"99","Randolph","157",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001498185","0000048808","Randolph County","A","+38049180","-089821295","06",368,858,882,475,482,1455,1049,985,465,453,451,471,449,435,448,477,1580,3053,3068,2878,2174,1874,1500,1406,595,952,1470,1276,1158,766,630
"G1701590","1990","IL",,,,,,,,,,,,"99","Richland","159",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000932830","0000004837","Richland County","A","+38713392","-088085192","06",191,460,473,280,242,791,508,475,207,222,223,230,214,231,190,168,523,1213,1296,1141,961,879,909,818,314,500,814,654,636,430,352
"G1701610","1990","IL",,,,,,,,,,,,"99","Rock Island","161",,,"3","1960",,,,"9999","2","Illinois","17",,,,"0001105360","0000063220","Rock Island County","A","+41468950","-090565507","06",1800,4333,4159,2061,2063,6641,4530,4212,2076,2061,1879,2094,2058,2355,2260,2118,5544,10606,11967,11546,10154,8465,7324,6967,2887,4359,6907,5687,4525,2845,2240
"G1701630","1990","IL",,,,,,,,,,,,"99","St Clair","163",,,"3","7040",,,,"9999","2","Illinois","17",,,,"0001719496","0000026128","St. Clair County","A","+38470800","-089931431","06",3728,8715,8546,4174,4226,12936,8505,7895,3994,3929,4032,4129,3926,3928,3850,3448,10891,21517,22608,20427,16884,13073,11130,11351,4707,6970,10541,8359,6696,4293,3444
"G1701650","1990","IL",,,,,,,,,,,,"99","Saline","165",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000992816","0000009490","Saline County","A","+37753784","-088540789","06",312,664,632,316,371,1092,715,728,345,399,413,421,389,359,301,283,829,1724,1866,1758,1703,1476,1355,1333,528,831,1418,1361,1194,805,630
"G1701670","1990","IL",,,,,,,,,,,,"99","Sangamon","167",,,"3","7880",,,,"9999","2","Illinois","17",,,,"0002248833","0000022886","Sangamon County","A","+39758124","-089658017","06",2271,5364,5205,2610,2663,7977,5275,4953,2407,2258,2283,2285,2173,2253,2030,2016,7037,14924,15625,15071,13435,9975,8412,7635,3084,4715,7342,5957,5046,3427,2678
"G1701690","1990","IL",,,,,,,,,,,,"99","Schuyler","169",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001132751","0000010546","Schuyler County","A","+40157695","-090609148","06",74,203,174,94,108,312,240,226,100,113,102,113,97,88,93,86,214,446,609,533,480,406,366,368,177,224,414,345,294,204,195
"G1701710","1990","IL",,,,,,,,,,,,"99","Scott","171",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000649986","0000004737","Scott County","A","+39647881","-090478283","06",61,139,167,94,75,267,173,179,74,83,83,84,71,58,61,71,173,400,441,375,365,295,299,263,127,157,260,245,228,159,117
"G1701730","1990","IL",,,,,,,,,,,,"99","Shelby","173",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001964648","0000024699","Shelby County","A","+39394699","-088809255","06",275,635,606,299,339,938,701,654,333,351,312,308,288,271,291,228,711,1566,1630,1534,1396,1253,1076,1122,426,725,1172,1016,785,566,454
"G1701750","1990","IL",,,,,,,,,,,,"99","Stark","175",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000745747","0000000758","Stark County","A","+41088502","-089794915","06",66,156,186,91,94,296,204,202,100,86,106,93,84,80,53,61,188,394,492,459,420,371,325,319,122,218,340,329,261,186,152
"G1701770","1990","IL",,,,,,,,,,,,"99","Stephenson","177",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001461479","0000001306","Stephenson County","A","+42350102","-089665903","06",546,1466,1404,715,713,2196,1403,1284,682,631,650,701,664,707,584,538,1693,3501,3944,3641,3149,2722,2424,2179,870,1366,2313,1932,1514,1077,843
"G1701790","1990","IL",,,,,,,,,,,,"99","Tazewell","179",,,"3","6120",,,,"9999","2","Illinois","17",,,,"0001680679","0000023377","Tazewell County","A","+40512644","-089513191","06",1495,3411,3510,1872,1742,5585,3887,3770,1867,1911,1791,1858,1650,1678,1619,1427,4407,8950,9896,9907,9062,7350,6358,6234,2519,3565,5130,4079,3235,2213,1714
"G1701810","1990","IL",,,,,,,,,,,,"99","Union","181",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001077913","0000015444","Union County","A","+37468895","-089256074","06",199,449,434,240,199,699,468,442,228,260,239,230,265,202,201,223,554,1207,1281,1300,1197,1084,950,885,333,517,915,826,703,536,353
"G1701830","1990","IL",,,,,,,,,,,,"99","Vermilion","183",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002328724","0000007912","Vermilion County","A","+40182453","-087738421","06",1024,2430,2466,1240,1257,3939,2675,2730,1255,1223,1269,1360,1169,1186,1062,983,3031,6315,6910,6742,5983,5030,4361,4247,1704,2675,4451,3561,2738,1822,1419
"G1701850","1990","IL",,,,,,,,,,,,"99","Wabash","185",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000578826","0000011117","Wabash County","A","+38443933","-087840390","06",162,338,349,198,204,614,431,393,173,191,186,171,214,229,165,165,417,920,1046,978,887,674,621,627,220,420,607,554,456,272,229
"G1701870","1990","IL",,,,,,,,,,,,"99","Warren","187",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001405256","0000001655","Warren County","A","+40853296","-090614728","06",194,512,530,262,275,899,643,579,286,253,265,276,308,331,312,324,720,1179,1404,1383,1203,1063,887,835,383,560,951,794,638,473,459
"G1701890","1990","IL",,,,,,,,,,,,"99","Washington","189",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001457270","0000003886","Washington County","A","+38350858","-089417134","06",169,417,418,224,221,722,477,439,227,216,212,189,178,190,156,163,439,1087,1141,1073,933,769,730,646,299,445,808,666,590,393,328
"G1701910","1990","IL",,,,,,,,,,,,"99","Wayne","191",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001849104","0000004303","Wayne County","A","+38431670","-088423477","06",212,430,450,244,237,734,486,490,232,219,227,265,225,240,205,193,579,1186,1226,1108,1056,952,925,849,341,564,955,801,722,494,394
"G1701930","1990","IL",,,,,,,,,,,,"99","White","193",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001281886","0000017563","White County","A","+38087449","-088178300","06",179,405,422,207,248,659,480,466,216,199,226,201,160,164,175,174,490,1142,1239,1152,1036,883,840,828,369,546,908,866,766,495,381
"G1701950","1990","IL",,,,,,,,,,,,"99","Whiteside","195",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001773684","0000031707","Whiteside County","A","+41750787","-089911315","06",763,1737,1686,881,843,2780,1893,1844,918,929,933,951,961,839,755,686,1985,4229,4770,4610,4062,3395,2963,2836,1185,1806,2761,2296,1777,1180,932
"G1701970","1990","IL",,,,,,,,,,,,"14","Will","197",,,"3","1602",,,,"3690","2","Illinois","17",,,,"0002168506","0000031563","Will County","A","+41439238","-087982396","06",5212,12084,12150,6040,5968,18480,12562,11623,5590,5624,5368,5746,5497,5559,5405,4992,14344,29045,33170,31355,28626,21745,15861,12871,4776,6781,10468,7922,5898,3784,2767
"G1701990","1990","IL",,,,,,,,,,,,"99","Williamson","199",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001098583","0000052401","Williamson County","A","+37730326","-088929541","06",646,1561,1486,760,746,2317,1654,1527,755,763,801,819,816,776,801,676,2155,4240,4606,4281,4065,3415,2973,2625,1045,1650,2971,2484,1997,1256,1066
"G1702010","1990","IL",,,,,,,,,,,,"99","Winnebago","201",,,"3","6880",,,,"9999","2","Illinois","17",,,,"0001330846","0000014221","Winnebago County","A","+42331768","-089160603","06",3524,8049,7642,3824,3672,11256,7454,6864,3341,3553,3462,3663,3481,3616,3397,3280,10338,21132,21885,20456,18157,14799,11886,11016,4401,6717,10605,8119,5987,3858,3479
"G1702030","1990","IL",,,,,,,,,,,,"99","Woodford","203",,,"3","6120",,,,"9999","2","Illinois","17",,,,"0001367637","0000038176","Woodford County","A","+40785978","-089212257","06",385,1005,968,532,485,1700,1152,1094,555,573,476,511,488,493,411,400,965,2069,2533,2698,2390,1872,1510,1406,580,811,1335,1081,948,640,587
"G1800010","1990","IN",,,,,,,,,,,,"99","Adams","001",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000878973","0000001490","Adams County","A","+40745468","-084935843","06",544,1066,1088,567,572,1727,1130,1108,514,528,517,499,485,476,463,422,1238,2322,2338,2225,1921,1577,1294,1120,493,687,1223,1033,849,594,475
"G1800030","1990","IN",,,,,,,,,,,,"99","Allen","003",,,"3","2760",,,,"9999","2","Indiana","18",,,,"0001702366","0000007388","Allen County","A","+41091279","-085064170","06",4246,10076,9538,4857,4509,14356,9598,8938,4274,4339,4312,4461,4376,4442,4193,4172,12777,25798,26814,25126,21842,16367,13041,12057,4876,7327,11276,8491,6331,4378,3648
"G1800050","1990","IN",,,,,,,,,,,,"99","Bartholomew","005",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001053762","0000006528","Bartholomew County","A","+39205132","-085898204","06",833,1904,1834,904,854,2682,1825,1822,868,954,992,1003,958,887,828,750,2612,4870,5330,5152,4924,4314,3473,3040,1113,1599,2448,1846,1376,911,751
"G1800070","1990","IN",,,,,,,,,,,,"99","Benton","007",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001052399","0000000236","Benton County","A","+40605690","-087307734","06",143,260,293,144,159,473,263,342,155,144,144,138,116,95,91,98,330,661,718,690,550,532,433,438,193,266,481,407,300,201,183
"G1800090","1990","IN",,,,,,,,,,,,"99","Blackford","009",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000427663","0000000766","Blackford County","A","+40473434","-085322568","06",182,352,439,189,190,597,407,359,191,203,228,235,215,176,177,171,497,1051,1030,967,1023,848,776,679,294,448,661,563,436,264,219
"G1800110","1990","IN",,,,,,,,,,,,"99","Boone","011",,,"3","3480",,,,"9999","2","Indiana","18",,,,"0001094913","0000001454","Boone County","A","+40051093","-086468727","06",462,1224,1166,594,619,1777,1180,1148,580,585,535,567,498,441,422,356,1162,2798,3358,3173,3038,2450,1949,1616,644,918,1432,1161,900,684,710
"G1800130","1990","IN",,,,,,,,,,,,"99","Brown","013",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000808838","0000011287","Brown County","A","+39195672","-086228533","06",161,358,347,214,164,587,398,413,200,185,226,215,174,171,172,154,431,932,1183,1152,1189,978,828,764,271,426,656,456,356,182,137
"G1800150","1990","IN",,,,,,,,,,,,"99","Carroll","015",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000964171","0000007246","Carroll County","A","+40583933","-086564568","06",236,562,514,255,266,838,564,583,289,291,299,279,306,213,205,197,671,1289,1539,1438,1290,1116,982,851,365,585,882,767,530,315,292
"G1800170","1990","IN",,,,,,,,,,,,"99","Cass","017",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001069384","0000005324","Cass County","A","+40760855","-086346564","06",470,1063,1059,513,530,1708,1191,1203,607,584,620,609,519,516,466,439,1227,2783,3078,2927,2645,2205,1955,1795,733,1110,1848,1585,1119,710,596
"G1800190","1990","IN",,,,,,,,,,,,"99","Clark","019",,,"3","4520",,,,"9999","2","Indiana","18",,,,"0000971678","0000002758","Clark County","A","+38477432","-085716444","06",980,2440,2345,1143,1219,3833,2662,2651,1287,1337,1255,1397,1344,1326,1240,1090,3387,7256,7566,7257,6583,5317,4273,3986,1539,2469,3599,2595,2030,1337,1034
"G1800210","1990","IN",,,,,,,,,,,,"99","Clay","021",,,"3","8320",,,,"9999","2","Indiana","18",,,,"0000926302","0000007179","Clay County","A","+39395617","-087114852","06",300,697,685,338,373,1137,792,717,330,348,366,369,365,325,278,275,893,1745,1963,1750,1585,1323,1207,1152,504,716,1250,1017,818,572,515
"G1800230","1990","IN",,,,,,,,,,,,"99","Clinton","023",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001049272","0000000462","Clinton County","A","+40299618","-086475786","06",437,957,901,506,443,1453,1015,969,458,499,463,451,426,363,362,346,1108,2329,2438,2353,2017,1638,1473,1404,520,840,1378,1213,919,648,647
"G1800250","1990","IN",,,,,,,,,,,,"99","Crawford","025",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000791768","0000008207","Crawford County","A","+38285114","-086456196","06",138,271,276,148,139,456,292,319,176,177,166,170,142,140,134,122,365,703,772,763,663,545,510,441,206,266,431,325,297,217,144
"G1800270","1990","IN",,,,,,,,,,,,"99","Daviess","027",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001115632","0000015903","Daviess County","A","+38702369","-087075782","06",386,897,895,455,449,1401,894,884,409,438,405,442,394,388,332,307,932,2025,2004,1937,1782,1421,1195,1169,491,793,1292,1148,907,575,486
"G1800290","1990","IN",,,,,,,,,,,,"21","Dearborn","029",,,"3","1642",,,,"1640","2","Indiana","18",,,,"0000790581","0000004761","Dearborn County","A","+39149973","-084977076","06",517,1172,1198,627,626,1945,1362,1268,632,584,594,581,588,511,569,447,1348,2837,3223,3309,2743,2270,1916,1673,642,1042,1544,1175,873,534,485
"G1800310","1990","IN",,,,,,,,,,,,"99","Decatur","031",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000965114","0000002107","Decatur County","A","+39304383","-085502051","06",310,734,673,345,367,1176,825,819,399,414,411,349,369,322,307,284,916,1811,1933,1713,1571,1260,1159,1018,405,597,923,824,616,443,352
"G1800330","1990","IN",,,,,,,,,,,,"99","DeKalb","033",,,"3","2760",,,,"9999","2","Indiana","18",,,,"0000939925","0000002491","De Kalb County","A","+41395532","-084999715","06",469,1151,1107,549,563,1767,1241,1189,528,572,537,552,536,482,456,487,1337,2967,3065,2850,2351,1925,1544,1413,586,878,1308,1027,877,539,471
"G1800350","1990","IN",,,,,,,,,,,,"99","Delaware","035",,,"3","5280",,,,"9999","2","Indiana","18",,,,"0001018679","0000006819","Delaware County","A","+40225637","-085398211","06",1319,3007,2941,1498,1412,4249,3020,2921,1432,1506,1487,1623,2935,4812,4349,3636,6960,8418,8174,8005,7597,6911,5757,5228,2052,3257,4957,3748,2999,1973,1476
"G1800370","1990","IN",,,,,,,,,,,,"99","Dubois","037",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001113988","0000013308","Dubois County","A","+38364109","-086881299","06",510,1247,1193,619,609,1782,1176,1073,518,547,503,517,486,456,430,462,1567,3247,3282,2866,2394,1903,1683,1510,609,910,1304,1117,922,608,566
"G1800390","1990","IN",,,,,,,,,,,,"99","Elkhart","039",,,"3","2330",,,,"9999","2","Indiana","18",,,,"0001201341","0000010434","Elkhart County","A","+41596450","-085858939","06",2356,5606,5315,2544,2559,7435,4844,4827,2184,2312,2181,2314,2234,2270,2278,2233,6968,13041,12910,12650,11143,8920,7100,6328,2533,3616,5544,4424,3351,2220,1958
"G1800410","1990","IN",,,,,,,,,,,,"99","Fayette","041",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000556814","0000000400","Fayette County","A","+39643844","-085176249","06",294,686,634,314,356,1105,868,829,427,468,466,456,415,358,334,341,977,1745,1883,2119,1809,1542,1306,1206,499,801,1185,1011,734,453,394
"G1800430","1990","IN",,,,,,,,,,,,"99","Floyd","043",,,"3","4520",,,,"9999","2","Indiana","18",,,,"0000383366","0000000811","Floyd County","A","+38319328","-085903094","06",828,1834,1809,924,919,3004,2074,1871,914,968,937,960,926,911,899,788,2357,4914,5425,5354,5028,3809,3092,2743,1195,1710,2623,2117,1562,1038,871
"G1800450","1990","IN",,,,,,,,,,,,"99","Fountain","045",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001024928","0000005766","Fountain County","A","+40122725","-087244396","06",221,517,463,256,250,784,524,529,252,251,286,279,241,234,220,200,630,1181,1360,1222,1133,1066,998,858,355,529,925,759,556,400,329
"G1800470","1990","IN",,,,,,,,,,,,"99","Franklin","047",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000999798","0000013812","Franklin County","A","+39422146","-085055745","06",223,612,615,295,312,955,684,720,335,356,317,362,298,290,236,243,698,1364,1625,1527,1313,1114,910,865,329,548,749,603,476,299,307
"G1800490","1990","IN",,,,,,,,,,,,"99","Fulton","049",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0000954480","0000007424","Fulton County","A","+41043918","-086261468","06",201,580,509,277,289,935,573,552,281,271,258,290,281,214,202,173,565,1404,1472,1364,1187,1075,969,939,344,626,933,775,614,384,303
"G1800510","1990","IN",,,,,,,,,,,,"99","Gibson","051",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001266132","0000026478","Gibson County","A","+38309017","-087580462","06",398,858,858,447,461,1516,951,915,436,490,411,458,441,422,360,402,1165,2301,2621,2453,2056,1714,1629,1567,598,961,1461,1264,1002,696,601
"G1800530","1990","IN",,,,,,,,,,,,"99","Grant","053",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001072353","0000002091","Grant County","A","+40515650","-085654440","06",892,1956,1961,945,947,3032,2161,2105,1021,1118,1071,1161,1313,1584,1392,1239,2818,4959,5538,5333,5229,4439,4169,3835,1475,2249,3393,2611,1923,1241,1059
"G1800550","1990","IN",,,,,,,,,,,,"99","Greene","055",,,"3","9999",,,,"9999","2","Indiana","18",,,,"0001404133","0000009872","Greene County","A","+39036893","-086965961","06",363,819,760,427,436,1293,926,911,466,403,453,472,402,352,372,347,1115,2260,2224,2203,2101,1793,1560,1419,620,925,1494,1260,972,653,609
"G1800570","1990","IN",,,,,,,,,,,,"99","Hamilton","057",,,"3","3480",,,,"9999","2","Indiana","18",,,,"0001030863","0000012250","Hamilton County","A","+40071479","-086052183","06",1550,3720,3639,1868,1870,5545,3579,3325,1600,1738,1551,1638,1368,1220,1109,1041,3502,8567,10512,10385,9716,7398,5388,4346,1566,2206,3204,2261,1545,1052,927
"G1800590","1990","IN",,,,,,,,,,,,"99","Hancock","059",,,"3","3480",,,,"9999","2","Indiana","18",,,,"0000793011","0000001483","Hancock County","A","+39823136","-085771030","06",527,1238,1227,690,662,2185,1556,1422,771,752,746,769,752,603,555,508,1540,3098,3738,3783,3995,3214,2518,2062,785,1083,1582,1200,891,594,481
"G1800610","1990","IN",,,,,,,,,,,,"99","Harrison","061",,,"3","4520",,,,"9999","2","Indiana","18",,,,"0001256802","0000004301","Harrison County","A","+38199477","-086115724","06",353,860,834,473,470,1536,991,1040,466,473,471,483,450,394,392,368,1007,2291,2499,2518,2294,1888,1343,1294,525,781,1058,872,671,437,358
"G1800630","1990","IN",,,,,,,,,,,,"99","Hendricks","063",,,"3","3480",,,,"9999","2","Indiana","18",,,,"0001057822","0000001241","Hendricks County","A","+39768519","-086509229","06",912,2178,2222,1112,1133,3648,2466,2337,1194,1269,1253,1388,1103,1041,970,898,2578,5727,6813,6574,6256,5214,3885,3246,1216,1733,2640,1874,1274,891,672
